city_name,country,date,latitude,longitude,temp,humidity,cloudiness,wind_speed
Kieta,PG,1612267634,-6.2167,155.6333,81.64,80,100,14.41
Mahanoro,MG,1612267634,-19.9,48.8,86.4,60,30,8.41
Sitka,US,1612267634,57.0531,-135.33,33.8,75,75,4.61
Oranjemund,NA,1612267634,-28.55,16.4333,72.46,59,0,12.82
Bonfim,BR,1612267635,3.0833,-59.95,78.37,65,91,8.97
Kadaura,IN,1612267635,25.9833,79.85,72.28,30,0,4.03
Haines Junction,CA,1612267635,60.7522,-137.5108,-9.4,64,100,6.91
Alindao,CF,1612267635,5.0267,21.2088,110.88,15,22,0.94
Gizo Government Station,SB,1612267635,-8.103,156.8419,81.03,81,100,6.35
Aksaray,TR,1612267635,38.3726,34.0254,59.0,41,75,10.36
Kruisfontein,ZA,1612267635,-34.0033,24.7314,89.01,40,51,8.01
Aksu,CN,1612267636,41.1231,80.2644,32.45,69,81,4.81
Morogoro,TZ,1612267636,-6.8167,37.6667,87.04,52,62,5.61
Shakiso,ET,1612267636,5.75,38.9167,86.61,13,53,7.18
Takoradze,GH,1612267636,4.8845,-1.7554,85.87,67,43,7.76
Chākia,IN,1612267636,26.4167,85.05,65.23,37,0,5.1
Provideniya,RU,1612267636,64.3833,-173.3,3.72,91,100,17.92
Barranca,PE,1612267637,-10.75,-77.7667,67.93,84,100,3.36
Abnūb,EG,1612267637,27.2696,31.1511,69.8,43,0,5.64
Vyazemskiy,RU,1612267637,47.5378,134.7525,-18.51,82,100,13.04
Stornoway,GB,1612267637,58.2093,-6.3865,39.2,65,40,23.02
Khovd,MN,1612267637,48.0056,91.6419,10.18,79,19,1.03
Dhārchula,IN,1612267637,29.85,80.5333,58.55,31,0,3.47
Ngawi,ID,1612267637,-7.4038,111.4461,76.69,89,99,6.38
Iwanai,JP,1612267638,42.9744,140.5089,12.81,92,100,20.11
Moindou,NC,1612267638,-21.6924,165.677,71.6,100,75,16.11
Altamira,BR,1612267638,-3.2033,-52.2064,78.8,89,40,3.8
Shakawe,BW,1612267638,-18.3667,21.85,81.68,63,100,10.36
Swan Hill,AU,1612267638,-35.3378,143.5544,65.52,47,0,12.19
Okhotsk,RU,1612267638,59.3833,143.3,-17.25,88,100,12.35
Quatre Cocos,MU,1612267639,-20.2078,57.7625,87.8,62,75,14.97
Deputatsky,RU,1612267639,69.3,139.9,-23.19,88,100,5.7
Les Cayes,HT,1612267639,18.2,-73.75,73.53,84,22,3.56
Kemijärvi,FI,1612267639,66.7131,27.4306,7.81,95,36,2.93
Sioux Lookout,CA,1612267640,50.1001,-91.917,17.6,93,90,4.61
Olbia,IT,1612267410,40.9214,9.4856,64.4,52,20,13.8
Olafsvik,IS,1612267640,64.8945,-23.7142,36.93,74,100,18.23
Asău,RO,1612267640,46.4333,26.4,41.0,44,8,1.66
Beyneu,KZ,1612267640,45.3167,55.2,52.56,48,48,12.17
Lagoa,PT,1612267640,39.05,-27.9833,56.1,65,43,31.61
Verkhozim,RU,1612267640,52.7122,45.418,28.15,99,100,8.05
Bilibino,RU,1612267641,68.0546,166.4372,-4.11,84,11,6.4
Maniitsoq,GL,1612267641,65.4167,-52.9,-1.41,80,1,7.27
La Primavera,CO,1612267641,5.4906,-70.4092,78.1,56,100,9.55
Whitianga,NZ,1612267641,-36.8333,175.7,64.0,80,32,1.01
Qaryat Sulūq,LY,1612267671,31.6682,20.2521,64.78,46,0,11.01
Estevan,CA,1612267514,49.1334,-102.9842,23.0,85,75,10.36
Gushikawa,JP,1612267671,26.3544,127.8686,62.6,67,75,13.8
Tungor,RU,1612267672,53.3808,142.9564,-24.68,84,100,14.85
Kem',RU,1612267672,64.9555,34.5793,7.61,95,53,6.8
Winneba,GH,1612267469,5.3511,-0.6231,87.8,66,20,6.91
Bereda,ES,1612267672,43.2686,-7.5406,55.99,98,96,14.0
Kloulklubed,PW,1612267672,7.0419,134.2556,78.8,89,75,5.75
Karakol,KG,1612267672,42.4907,78.3936,27.75,93,85,2.3
El Alto,PE,1612267673,-4.2714,-81.2147,71.6,68,75,20.71
Evensk,RU,1612267673,61.95,159.2333,-8.36,83,100,7.81
Dhemāji,IN,1612267673,27.4833,94.5833,71.6,73,0,1.54
Lalibela,ET,1612267673,12.0333,39.0333,77.61,17,0,4.72
Hammerfest,NO,1612267673,70.6634,23.6821,24.8,93,90,5.75
Graham,US,1612267522,47.0529,-122.2943,43.0,100,90,6.42
Skoghall,SE,1612267673,59.3232,13.4655,19.4,93,40,9.22
Canelli,IT,1612267674,44.7215,8.2924,46.99,92,46,1.01
Bor,RU,1612267674,56.3567,44.0669,19.4,79,0,6.71
Lakes Entrance,AU,1612267674,-37.8811,147.981,61.0,68,10,5.28
Kavaratti,IN,1612267674,10.5669,72.642,82.58,67,19,3.78
Dvinskoy Bereznik,RU,1612267674,62.8551,42.7072,22.17,98,100,3.67
